;Source;Target;Common Genes
1625;Oligodendroglioma;Meningioma;1
1626;Oligodendroglioma;Prostate cancer;1
1627;Oligodendroglioma;Thyroid carcinoma;1
1628;Oligodendroglioma;VATER association with hydrocephalus;1
1629;Oligodontia;Hypodontia;1
1630;Oligodontia-colorectal cancer syndrome;Colon cancer;1
1631;Omenn syndrome;Severe combined immunodeciency;3
1632;Optic atrophy;Glaucoma;1
1633;Optic atrophy;3-methylglutaconicaciduria;1
1634;Orolaryngeal cancer;Li Fraumeni syndrome;1
1635;Orolaryngeal cancer;Melanoma;1
1636;Orolaryngeal cancer;Pancreatic cancer;1
1637;OSMED syndrome;Deafness;1
1638;OSMED syndrome;Stickler syndrome;1
1639;OSMED syndrome;Weissenbacher-Zweymuller syndrome;1
1640;Osseous heteroplasia;Acromegaly;1
1641;Osseous heteroplasia;McCune-Albright syndrome;1
1642;Osseous heteroplasia;Pituitary ACTH-secreting adenoma;1
1643;Osseous heteroplasia;Pseudohypoparathyroidism;1
1644;Osseous heteroplasia;Somatotrophinoma;1
1645;Ossication of the posterior longitudinal spinal ligaments;Diabetes mellitus;1
1646;Ossication of the posterior longitudinal spinal ligaments;Obesity;1
1647;Osteoarthritis;Achondrogenesis-hypochondrogenesis, type II;1
1648;Osteoarthritis;Kniest dysplasia;1
1649;Osteoarthritis;SMED Strudwick type;1
1650;Osteoarthritis;Stickler syndrome;1
1651;Osteoarthritis;Wagner syndrome;1
1652;Osteoarthritis;Epiphyseal dysplasia;1
1653;Osteoarthritis;Spondyloepiphyseal dysplasia;1
1654;Osteogenesis imperfecta;Caffey disease;1
1655;Osteogenesis imperfecta;Dissection of cervical arteries;1
1656;Osteogenesis imperfecta;Ehlers-Danlos syndrome;2
1657;Osteogenesis imperfecta;Osteoporosis;2
1658;Osteogenesis imperfecta;Marfan syndrome;1
1659;Osteopetrosis;Bone mineral density variability;1
1660;Osteopetrosis;Exudative vitreoretinopathy;1
1661;Osteopetrosis;Hyperostosis, endosteal;1
1662;Osteopetrosis;Osteoporosis;1
1663;Osteopetrosis;Osteoporosis-pseudoglioma syndrome;1
1664;Osteopetrosis;van Buchem disease;1
1665;Osteoporosis;Caffey disease;1
1666;Osteoporosis;Dissection of cervical arteries;1
1667;Osteoporosis;Ehlers-Danlos syndrome;2
1668;Osteoporosis;Osteogenesis imperfecta;2
1669;Osteoporosis;Marfan syndrome;1
1670;Osteoporosis;Bone mineral density variability;1
1671;Osteoporosis;Exudative vitreoretinopathy;1
1672;Osteoporosis;Hyperostosis, endosteal;1
1673;Osteoporosis;Osteopetrosis;1
1674;Osteoporosis;Osteoporosis-pseudoglioma syndrome;1
1675;Osteoporosis;van Buchem disease;1
1676;Osteoporosis;Urolithiasise;1
1677;Osteoporosis-pseudoglioma syndrome;Bone mineral density variability;1
1678;Osteoporosis-pseudoglioma syndrome;Exudative vitreoretinopathy;1
1679;Osteoporosis-pseudoglioma syndrome;Hyperostosis, endosteal;1
1680;Osteoporosis-pseudoglioma syndrome;Osteopetrosis;1
1681;Osteoporosis-pseudoglioma syndrome;Osteoporosis;1
1682;Osteoporosis-pseudoglioma syndrome;van Buchem disease;1
1683;Osteosarcoma;Adrenal cortical carcinoma;1
1684;Osteosarcoma;Breast cancer;2
1685;Osteosarcoma;Colon cancer;1
1686;Osteosarcoma;Hepatic adenoma;1
1687;Osteosarcoma;Histiocytoma;1
1688;Osteosarcoma;Li-Fraumeni syndrome;2
1689;Osteosarcoma;Multiple malignancy syndrome;1
1690;Osteosarcoma;Nasopharyngeal carcinoma;1
1691;Osteosarcoma;Pancreatic cancer;1
1692;Osteosarcoma;Thyroid carcinoma;1
1693;Osteosarcoma;Prostate cancer;1
1694;Ovarian cancer;Breast cancer;3
1695;Ovarian cancer;Papillary serous carcinoma of the peritoneum;1
1696;Ovarian cancer;Endometrial carcinoma;2
1697;Ovarian cancer;Gastric cancer;2
1698;Ovarian cancer;Listeria monocytogenes;1
1699;Ovarian cancer;Colon cancer;4
1700;Ovarian cancer;Hepatic adenoma;1
1701;Ovarian cancer;Pilomatricoma;1
1702;Ovarian cancer;Adenocarcinoma;1
1703;Ovarian cancer;Glioblastoma;2
1704;Ovarian cancer;Cancer susceptibility;1
1705;Ovarian cancer;Cafe-au-lait spots;1
1706;Ovarian cancer;Lymphoma;1
1707;Ovarian cancer;Lynch cancer family syndrome II;1
1708;Ovarian cancer;Muir-Torre syndrome;1
1709;Ovarian cancer;Neurofibromatosis;1
1710;Pallidopontonigral degeneration;Dementia;1
1711;Pallidopontonigral degeneration;Supranuclear palsy;1
1712;Pallidopontonigral degeneration;Tauopathy and respiratory failure;1
1713;Pancreatic cancer;Breast cancer;3
1714;Pancreatic cancer;Fanconi anemia;1
1715;Pancreatic cancer;Prostate cancer;1
1716;Pancreatic cancer;Wilms tumor;1
1717;Pancreatic cancer;Li Fraumeni syndrome;1
1718;Pancreatic cancer;Melanoma;2
1719;Pancreatic cancer;Orolaryngeal cancer;1
1720;Pancreatic cancer;Bladder cancer;1
1721;Pancreatic cancer;Leukemia;1
1722;Pancreatic cancer;Lung cancer;1
1723;Pancreatic cancer;Stomach cancer;1
1724;Pancreatic cancer;Juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome;1
1725;Pancreatic cancer;Polyposis;1
1726;Pancreatic cancer;Peutz-Jeghers syndrome;1
1727;Pancreatic cancer;Adrenal cortical carcinoma;1
1728;Pancreatic cancer;Colon cancer;1
1729;Pancreatic cancer;Hepatic adenoma;1
1730;Pancreatic cancer;Histiocytoma;1
1731;Pancreatic cancer;Li-Fraumeni syndrome;1
1732;Pancreatic cancer;Multiple malignancy syndrome;1
1733;Pancreatic cancer;Nasopharyngeal carcinoma;1
1734;Pancreatic cancer;Osteosarcoma;1
1735;Pancreatic cancer;Thyroid carcinoma;1
1736;Papillary serous carcinoma of the peritoneum;Breast cancer;1
1737;Papillary serous carcinoma of the peritoneum;Ovarian cancer;1
1738;Paragangliomas;Pheochromocytoma;2
1739;Paragangliomas;Carcinoid tumors, intestinal;1
1740;Paragangliomas;Merkel cell carcinoma;1
1741;Paramyotonia congenita;Cramps, potassium-aggravated;1
1742;Paramyotonia congenita;Hyperkalemic periodic paralysis;1
1743;Paramyotonia congenita;Hypokalemic periodic paralysis;1
1744;Paramyotonia congenita;Myasthenic syndrome;1
1745;Paramyotonia congenita;Myotonia congenita;1
1746;Parathyroid adenoma;Adrenal adenoma;1
1747;Parathyroid adenoma;Angiofibroma, sporadic;1
1748;Parathyroid adenoma;Carcinoid tumor of lung;1
1749;Parathyroid adenoma;Hyperparathyroidism;2
1750;Parathyroid adenoma;Lipoma;1
1751;Parathyroid adenoma;Multiple endocrine neoplasia;1
1752;Parathyroid adenoma;Prolactinoma, hyperparathyroidism, carcinoid syndrome;1
1753;Parietal foramina;Craniosynostosis;1
1754;Parkes Weber syndrome;Basal cell carcinoma;1
1755;Parkes Weber syndrome;Capillary malformations;1
1756;Parkinson disease;Dopamine beta-hydroxylase deciency;1
1757;Parkinson disease;Adenocarcinoma;1
1758;Parkinson disease;Leprosy;1
1759;Parkinson disease;Dementia;1
1760;Parkinson disease;Huntington disease;1
1761;Parkinson disease;Spinocereballar ataxia;1
1762;Partington syndrome;Infantile spasm syndrome;1
1763;Partington syndrome;Lissencephaly;1
1764;Partington syndrome;Mental retardation;1
1765;Partington syndrome;Myoclonic epilepsy;1
1766;Partington syndrome;Proud syndrome;1
1767;PCWH;Waardenburg-Shah syndrome;1
1768;PCWH;Yemenite deaf-blind hypopigmentation syndrome;1
1769;Pelizaeus-Merzbacher disease;Spastic ataxia/paraplegia;1
1770;Pendred syndrome;Deafness;1
1771;Pendred syndrome;Enlarged vestibular aqueduct;1
1772;Perineal hypospadias;Androgen insensitivity;1
1773;Perineal hypospadias;Breast cancer;1
1774;Perineal hypospadias;Prostate cancer;1
1775;Perineal hypospadias;Spinal muscular atrophy;1
1776;Peters anomaly;Glaucoma;1
1777;Peters anomaly;Aniridia, type II;1
1778;Peters anomaly;Cataract;1
1779;Peters anomaly;Coloboma, ocular;1
1780;Peters anomaly;Ectopia;1
1781;Peters anomaly;Eye anomalies;1
1782;Peters anomaly;Foveal hypoplasia;1
1783;Peters anomaly;Keratitis;1
1784;Peters anomaly;Morning glory disc anomaly;1
1785;Peters anomaly;Optic nerve hypoplasia/aplasia;1
1786;Peutz-Jeghers syndrome;Melanoma;1
1787;Peutz-Jeghers syndrome;Pancreatic cancer;1
1788;Pfeiffer syndrome;Jackson-Weiss syndrome;2
1789;Pfeiffer syndrome;Kallmann syndrome;1
1790;Pfeiffer syndrome;Apert syndrome;1
1791;Pfeiffer syndrome;Beare-Stevenson cutis gyrata syndrome;1
1792;Pfeiffer syndrome;Craniofacial-skeletal-dermatologic dysplasia;1
1793;Pfeiffer syndrome;Craniosynostosis;1
1794;Pfeiffer syndrome;Crouzon syndrome;1
1795;Pfeiffer syndrome;Gastric cancer;1
1796;Pfeiffer syndrome;Saethre-Chotzen syndrome;1
1797;Pheochromocytoma;Paragangliomas;2
1798;Pheochromocytoma;Carcinoid tumors, intestinal;1
1799;Pheochromocytoma;Merkel cell carcinoma;1
1800;Pheochromocytoma;Hemangioblastoma, cerebellar;1
1801;Pheochromocytoma;Polycythemia;1
1802;Pheochromocytoma;Renal cell carcinoma;1
1803;Pheochromocytoma;von Hippel-Lindau syndrome;1
1804;Pick disease;Alzheimer disease;1
1805;Pick disease;Dementia;1
1806;Piebaldism;Gastrointestinal stromal tumor;1
1807;Piebaldism;Germ cell tumor;1
1808;Piebaldism;Leukemia;1
1809;Piebaldism;Mast cell leukemia;1
1810;Piebaldism;Mastocytosis with associated hematologic disorder;1
1811;Pigmented paravenous chorioretinal atrophy;Leber congenital amaurosis;1
1812;Pigmented paravenous chorioretinal atrophy;Retinitis pigmentosa;1
1813;Pilomatricoma;Colon cancer;1
1814;Pilomatricoma;Hepatic adenoma;1
1815;Pilomatricoma;Ovarian cancer;1
1816;Pituitary ACTH-secreting adenoma;Ventricular tachycardia;1
1817;Pituitary ACTH-secreting adenoma;Acromegaly;1
1818;Pituitary ACTH-secreting adenoma;McCune-Albright syndrome;1
1819;Pituitary ACTH-secreting adenoma;Osseous heteroplasia;1
1820;Pituitary ACTH-secreting adenoma;Pseudohypoparathyroidism;1
1821;Pituitary ACTH-secreting adenoma;Somatotrophinoma;1
1822;Placental abruption;Alzheimer disease;1
1823;Placental abruption;Coronary spasms;1
1824;Placental abruption;Hypertension;1
1825;Platelet defect/deficiency;Leukemia;1
1826;Platelet defect/deficiency;Rheumatoid arthritis;1
1827;Platelet defect/deficiency;Malaria;1
1828;Platelet defect/deficiency;Asthma;1
1829;Platelet defect/deficiency;Atopy;1
1830;Pneumothorax, primary spontaneous;Birt-Hogg-Dube syndrome;1
1831;Pneumothorax, primary spontaneous;Colon cancer;1
1832;Pneumothorax, primary spontaneous;Renal cell carcinoma;1
1833;Polycythemia;Myelofibrosis, idiopathic;1
1834;Polycythemia;Thrombocythemia;1
1835;Polycythemia;Hemangioblastoma, cerebellar;1
1836;Polycythemia;Pheochromocytoma;1
1837;Polycythemia;Renal cell carcinoma;1
1838;Polycythemia;von Hippel-Lindau syndrome;1
1839;Polyposis;Cowden disease;1
1840;Polyposis;Juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome;1
1841;Polyposis;Pancreatic cancer;1
1842;PPM-X syndrome;Angelman syndrome;1
1843;PPM-X syndrome;Autism;1
1844;PPM-X syndrome;Mental retardation;1
1845;PPM-X syndrome;Rett syndrome;1
1846;Preeclampsia;Hypertension;1
1847;Preeclampsia;Renal tubular dysgenesis;1
1848;Preeclampsia;Hypercholanemia;1
1849;Primary lateral sclerosis;Amyotrophic lateral sclerosis;1
1850;Primary lateral sclerosis;Spastic ataxia/paraplegia;1
1851;Prion disease with protracted course;Creutzfeldt-Jakob disease;1
1852;Prion disease with protracted course;Gerstmann-Straussler disease;1
1853;Prion disease with protracted course;Huntington disease;1
1854;Prion disease with protracted course;Insomnia;1
1855;Prolactinoma, hyperparathyroidism, carcinoid syndrome;Adrenal adenoma;1
1856;Prolactinoma, hyperparathyroidism, carcinoid syndrome;Angiofibroma, sporadic;1
1857;Prolactinoma, hyperparathyroidism, carcinoid syndrome;Carcinoid tumor of lung;1
1858;Prolactinoma, hyperparathyroidism, carcinoid syndrome;Hyperparathyroidism;1
1859;Prolactinoma, hyperparathyroidism, carcinoid syndrome;Lipoma;1
1860;Prolactinoma, hyperparathyroidism, carcinoid syndrome;Multiple endocrine neoplasia;1
1861;Prolactinoma, hyperparathyroidism, carcinoid syndrome;Parathyroid adenoma;1
1862;Prostate cancer;Androgen insensitivity;1
1863;Prostate cancer;Breast cancer;3
1864;Prostate cancer;Perineal hypospadias;1
1865;Prostate cancer;Spinal muscular atrophy;1
1866;Prostate cancer;Fanconi anemia;1
1867;Prostate cancer;Pancreatic cancer;1
1868;Prostate cancer;Wilms tumor;1
1869;Prostate cancer;Gastric cancer;1
1870;Prostate cancer;Neurofibrosarcoma;1
1871;Prostate cancer;Bannayan-Riley-Ruvalcaba syndrome;1
1872;Prostate cancer;Cowden disease;1
1873;Prostate cancer;Endometrial carcinoma;1
1874;Prostate cancer;Lhermitte-Duclos syndrome;1
1875;Prostate cancer;Meningioma;1
1876;Prostate cancer;Oligodendroglioma;1
1877;Prostate cancer;Thyroid carcinoma;1
1878;Prostate cancer;VATER association with hydrocephalus;1
1879;Prostate cancer;Lymphoma;1
1880;Prostate cancer;Li-Fraumeni syndrome;1
1881;Prostate cancer;Osteosarcoma;1
1882;Proud syndrome;Infantile spasm syndrome;1
1883;Proud syndrome;Lissencephaly;1
1884;Proud syndrome;Mental retardation;1
1885;Proud syndrome;Myoclonic epilepsy;1
1886;Proud syndrome;Partington syndrome;1
1887;Pseudoachondroplasia;Epiphyseal dysplasia;1
1888;Pseudohypoaldosteronism;Hypertension;1
1889;Pseudohypoaldosteronism;Liddle syndrome;2
1890;Pseudohypoparathyroidism;Acromegaly;1
1891;Pseudohypoparathyroidism;McCune-Albright syndrome;1
1892;Pseudohypoparathyroidism;Osseous heteroplasia;1
1893;Pseudohypoparathyroidism;Pituitary ACTH-secreting adenoma;1
1894;Pseudohypoparathyroidism;Somatotrophinoma;1
1895;Pyropoikilocytosis;Elliptocytosis;1
1896;Pyropoikilocytosis;Spherocytosis;1
1897;Pyruvate dehydrogenase deciency;Leigh syndrome;1
1898;Rabson-Mendenhall syndrome;Diabetes mellitus;1
1899;Rabson-Mendenhall syndrome;Leprechaunism;1
1900;Renal cell carcinoma;Hepatic adenoma;1
1901;Renal cell carcinoma;Hemangioblastoma, cerebellar;1
1902;Renal cell carcinoma;Pheochromocytoma;1
1903;Renal cell carcinoma;Polycythemia;1
1904;Renal cell carcinoma;von Hippel-Lindau syndrome;1
1905;Renal cell carcinoma;Birt-Hogg-Dube syndrome;1
1906;Renal cell carcinoma;Colon cancer;1
1907;Renal cell carcinoma;Pneumothorax, primary spontaneous;1
1908;Retinal cone dsytrophy;Retinitis pigmentosa;1
1909;Retinitis pigmentosa;Cone dystrophy;4
1910;Retinitis pigmentosa;Fundus albipunctatus;2
1911;Retinitis pigmentosa;Macular dystrophy;2
1912;Retinitis pigmentosa;Stargardt disease;1
1913;Retinitis pigmentosa;Leber congenital amaurosis;4
1914;Retinitis pigmentosa;Retinal cone dsytrophy;1
1915;Retinitis pigmentosa;Night blindness;2
1916;Retinitis pigmentosa;Butterfly dystrophy, retinal;1
1917;Retinitis pigmentosa;Foveomacular dystrophy, adult-onset, with choroidal neovascularization;1
1918;Retinitis pigmentosa;Bothnia retinal dystrophy;1
1919;Retinitis pigmentosa;Newfoundland rod-cone dystrophy;1
1920;Retinitis pigmentosa;Hypertriglyceridemia;1
1921;Retinitis pigmentosa;Macular degeneration;1
1922;Retinitis pigmentosa;Usher syndrome;1
1923;Retinitis pigmentosa;Enhanced S-cone syndrome;1
1924;Retinitis pigmentosa;Pigmented paravenous chorioretinal atrophy;1
1925;Retinoblastoma;Bladder cancer;1
1926;Rett syndrome;Angelman syndrome;1
1927;Rett syndrome;Autism;1
1928;Rett syndrome;Mental retardation;1
1929;Rett syndrome;PPM-X syndrome;1
1930;Rhabdomyosarcoma;Breast cancer;1
1931;Rhabdomyosarcoma;Lung cancer;1
1932;Rhabdomyosarcoma;Craniofacial-deafness-hand syndrome;1
1933;Rhabdomyosarcoma;Waardenburg syndrome;1
1934;Rheumatoid arthritis;Leukemia;1
1935;Rheumatoid arthritis;Platelet defect/deficiency;1
1936;Rheumatoid arthritis;Graft-versus-host disease;1
1937;Rheumatoid arthritis;HIV;1
1938;Rheumatoid arthritis;Bare lymphocyte syndrome;1
1939;Rheumatoid arthritis;Multiple sclerosis;1
1940;Rheumatoid arthritis;Diabetes mellitus;1
1941;Rheumatoid arthritis;Systemic lupus erythematosus;1
1942;Rh-mod syndrome;Anemia;1
1943;Rh-negative blood type;Blood group;1
1944;Rieger syndrome;Anterior segment anomalies and cataract;1
1945;Rieger syndrome;Axenfeld anomaly;1
1946;Rieger syndrome;Iridogoniodysgenesis;2
1947;Rieger syndrome;Iris hypoplasia and glaucoma;1
1948;Rieger syndrome;Ring dermoid of cornea;1
1949;Ring dermoid of cornea;Iridogoniodysgenesis;1
1950;Ring dermoid of cornea;Rieger syndrome;1
1951;Rippling muscle disease;Cardiomyopathy;1
1952;Rippling muscle disease;Creatine phosphokinase;1
1953;Rippling muscle disease;Muscular dystrophy;1
1954;Rippling muscle disease;Myopathy;1
1955;Roussy-Levy syndrome;Charcot-Marie-Tooth disease;2
1956;Roussy-Levy syndrome;Dejerine-Sottas disease;2
1957;Roussy-Levy syndrome;Neuropathy;2
1958;Rubenstein-Taybi syndrome;Colon cancer;1
1959;Saethre-Chotzen syndrome;Apert syndrome;1
1960;Saethre-Chotzen syndrome;Beare-Stevenson cutis gyrata syndrome;1
1961;Saethre-Chotzen syndrome;Craniofacial-skeletal-dermatologic dysplasia;1
1962;Saethre-Chotzen syndrome;Craniosynostosis;1
1963;Saethre-Chotzen syndrome;Crouzon syndrome;1
1964;Saethre-Chotzen syndrome;Gastric cancer;1
1965;Saethre-Chotzen syndrome;Jackson-Weiss syndrome;1
1966;Saethre-Chotzen syndrome;Pfeiffer syndrome;1
1967;Salivary adenoma;Lipoma;1
1968;Salivary adenoma;Uterine leiomyoma;1
1969;Sandho disease, infantile, juvenile, and adult forms;Spinal muscular atrophy;1
1970;SARS, progression of;Alzheimer disease;1
1971;SARS, progression of;Angiotensin I-converting enzyme;1
1972;SARS, progression of;Diabetes mellitus;1
1973;SARS, progression of;Myocardial infarction;1
1974;SARS, progression of;Renal tubular dysgenesis;1
1975;Schizophrenia;Alzheimer disease;1
1976;Schizophrenia;Amyloidosis;1
1977;Schizophrenia;Alcohol dependence;1
1978;Schizophrenia;Anorexia nervosa;1
1979;Schizophrenia;Obsessive-compulsive disorder;1
1980;Schizophrenia;Seasonal affective disorder;1
1981;Schizophrenia;Hyperprolinemia;1
1982;Schwannomatosis;Meningioma;1
1983;Schwannomatosis;Neurofibromatosis;1
1984;Sea-blue histiocyte disease;Alzheimer disease;1
1985;Sea-blue histiocyte disease;Hyperlipoproteinemia;1
1986;Sea-blue histiocyte disease;Myocardial infarction;1
1987;Seasonal affective disorder;Alcohol dependence;1
1988;Seasonal affective disorder;Anorexia nervosa;1
1989;Seasonal affective disorder;Obsessive-compulsive disorder;1
1990;Seasonal affective disorder;Schizophrenia;1
1991;Sebastian syndrome;Deafness;1
1992;Sebastian syndrome;Epstein syndrome;1
1993;Sebastian syndrome;Fechtner syndrome;1
1994;Sebastian syndrome;May-Hegglin anomaly;1
1995;Self-healing collodion baby;Ichthyosiform erythroderma;1
1996;Self-healing collodion baby;Ichthyosis;1
1997;Sepsis;Asthma;1
1998;Sepsis;Dementia;1
1999;Sepsis;Malaria;1
2000;Sepsis;Migraine;1
2001;Severe combined immunodeciency;Adenosine deaminase deficiency;1
2002;Severe combined immunodeciency;Combined immunodeficiency;1
2003;Severe combined immunodeciency;Multiple sclerosis;1
2004;Severe combined immunodeciency;Omenn syndrome;3
2005;Sezary syndrome;Colon cancer;1
2006;Sezary syndrome;Germ cell tumor;1
2007;Sezary syndrome;Lymphoma;1
2008;Sezary syndrome;Mesothelioma;1
2009;Shah-Waardenburg syndrome;Central hypoventilation syndrome;1
2010;Shah-Waardenburg syndrome;Hirschsprung disease;1
2011;Shprintzen-Goldberg syndrome;Aortic aneurysm;1
2012;Shprintzen-Goldberg syndrome;Ectopia;1
2013;Shprintzen-Goldberg syndrome;Marfan syndrome;1
2014;Shprintzen-Goldberg syndrome;MASS syndrome;1
2015;Shprintzen-Goldberg syndrome;Weill-Marchesani syndrome;1
2016;Sick sinus syndrome;Brugada syndrome;1
2017;Sick sinus syndrome;Heart block;1
2018;Sick sinus syndrome;Long QT syndrome;1
2019;Sick sinus syndrome;Ventricular brillation, idiopathic;1
2020;Silver spastic paraplegia syndrome;Lipodystrophy;1
2021;Silver spastic paraplegia syndrome;Spinal muscular atrophy;1
2022;Simpson-Golabi-Behmel syndrome;Wilms tumor;1
2023;Skin fragility-woolly hair syndrome;Arrhythmogenic right ventricular dysplasia;1
2024;Skin fragility-woolly hair syndrome;Dilated cardiomyopathy with woolly hair and keratoderma;1
2025;Skin fragility-woolly hair syndrome;Epidermolysis bullosa;1
2026;Skin fragility-woolly hair syndrome;Keratosis palmoplantaria striata;1
2027;SMED Strudwick type;Achondrogenesis-hypochondrogenesis, type II;1
2028;SMED Strudwick type;Kniest dysplasia;1
2029;SMED Strudwick type;Osteoarthritis;1
2030;SMED Strudwick type;Stickler syndrome;1
2031;SMED Strudwick type;Wagner syndrome;1
2032;Solitary median maxillary central incisor;Coloboma, ocular;1
2033;Solitary median maxillary central incisor;Holoprosencephaly;1
2034;Somatotrophinoma;Acromegaly;1
2035;Somatotrophinoma;McCune-Albright syndrome;1
2036;Somatotrophinoma;Osseous heteroplasia;1
2037;Somatotrophinoma;Pituitary ACTH-secreting adenoma;1
2038;Somatotrophinoma;Pseudohypoparathyroidism;1
2039;Spastic ataxia/paraplegia;Pelizaeus-Merzbacher disease;1
2040;Spastic ataxia/paraplegia;Amyotrophic lateral sclerosis;1
2041;Spastic ataxia/paraplegia;Primary lateral sclerosis;1
2042;Spherocytosis;Blood group;1
2043;Spherocytosis;Elliptocytosis;3
2044;Spherocytosis;Hemolytic anemia;1
2045;Spherocytosis;Renal tubular acidosis;1
2046;Spherocytosis;Pyropoikilocytosis;1
2047;Spherocytosis;Anemia;1
2048;Spinal muscular atrophy;Androgen insensitivity;1
2049;Spinal muscular atrophy;Breast cancer;1
2050;Spinal muscular atrophy;Perineal hypospadias;1
2051;Spinal muscular atrophy;Prostate cancer;1
2052;Spinal muscular atrophy;Charcot-Marie-Tooth disease;1
2053;Spinal muscular atrophy;Sandho disease, infantile, juvenile, and adult forms;1
2054;Spinal muscular atrophy;Amyotrophic lateral sclerosis;1
2055;Spinal muscular atrophy;Lipodystrophy;1
2056;Spinal muscular atrophy;Silver spastic paraplegia syndrome;1
2057;Spinocereballar ataxia;Cerebellar ataxia;1
2058;Spinocereballar ataxia;Episodic ataxia;1
2059;Spinocereballar ataxia;Hemiplegic migraine, familial;1
2060;Spinocereballar ataxia;Huntington disease;1
2061;Spinocereballar ataxia;Parkinson disease;1
2062;Spondylocarpotarsal synostosis syndrome;Atelosteogenesis;1
2063;Spondylocarpotarsal synostosis syndrome;Larson syndrome;1
2064;Spondyloepiphyseal dysplasia;Epiphyseal dysplasia;1
2065;Spondyloepiphyseal dysplasia;Osteoarthritis;1
2066;Spondyloepiphyseal dysplasia;Arthropathy;1
2067;Squamous cell carcinoma;Autoimmune disease;1
2068;Stargardt disease;Cone dystrophy;1
2069;Stargardt disease;Fundus albipunctatus;1
2070;Stargardt disease;Macular dystrophy;2
2071;Stargardt disease;Retinitis pigmentosa;1
2072;Stickler syndrome;Achondrogenesis-hypochondrogenesis, type II;1
2073;Stickler syndrome;Kniest dysplasia;1
2074;Stickler syndrome;Osteoarthritis;1
2075;Stickler syndrome;SMED Strudwick type;1
2076;Stickler syndrome;Wagner syndrome;1
2077;Stickler syndrome;Marshall syndrome;1
2078;Stickler syndrome;Deafness;1
2079;Stickler syndrome;OSMED syndrome;1
2080;Stickler syndrome;Weissenbacher-Zweymuller syndrome;1
2081;Stomach cancer;Bladder cancer;1
2082;Stomach cancer;Breast cancer;1
2083;Stomach cancer;Leukemia;1
2084;Stomach cancer;Lung cancer;1
2085;Stomach cancer;Pancreatic cancer;1
2086;Stroke;Myocardial infarction;1
2087;Subcortical laminar heterotopia;Lissencephaly;2
2088;Supranuclear palsy;Dementia;1
2089;Supranuclear palsy;Pallidopontonigral degeneration;1
2090;Supranuclear palsy;Tauopathy and respiratory failure;1
2091;Supravalvar aortic stenosis;Cutis laxa;1
2092;Supravalvar aortic stenosis;Williams-Beuren syndrome;1
2093;Syndactyly;Atrioventricular block;1
2094;Syndactyly;Hypoplastic left heart syndrome;1
2095;Syndactyly;Oculodentodigital dysplasia;1
2096;Systemic lupus erythematosus;Diabetes mellitus;1
2097;Systemic lupus erythematosus;Rheumatoid arthritis;1
2098;Tangier disease;Cerebral amyloid angiopathy;1
2099;Tangier disease;Coronary artery disease;1
2100;Tangier disease;HDL cholesterol level QTL;1
2101;Tauopathy and respiratory failure;Dementia;1
2102;Tauopathy and respiratory failure;Pallidopontonigral degeneration;1
2103;Tauopathy and respiratory failure;Supranuclear palsy;1
2104;T-cell lymphoblastic leukemia;Ataxia-telangiectasia;1
2105;T-cell lymphoblastic leukemia;Breast cancer;1
2106;T-cell lymphoblastic leukemia;Lymphoma;1
2107;T-cell lymphoblastic leukemia;Colon cancer;1
2108;Tetralogy of Fallot;Alagille syndrome;1
2109;Tetralogy of Fallot;Deafness;1
2110;Tetralogy of Fallot;Atrial fibrillation;1
2111;Tetralogy of Fallot;Atrioventricular block;1
2112;Thanatophoric dysplasia, types I and II;Achondroplasia;1
2113;Thanatophoric dysplasia, types I and II;Bladder cancer;1
2114;Thanatophoric dysplasia, types I and II;Cervical carcinoma;1
2115;Thanatophoric dysplasia, types I and II;Colon cancer;1
2116;Thanatophoric dysplasia, types I and II;Crouzon syndrome;1
2117;Thanatophoric dysplasia, types I and II;Hypochondroplasia;1
2118;Thanatophoric dysplasia, types I and II;Muenke syndrome;1
2119;Thrombocythemia;Myelofibrosis, idiopathic;1
2120;Thrombocythemia;Polycythemia;1
2121;Thrombocytopenia;Hemorrhagic diathesis;1
2122;Thrombocytopenia;Thrombophilia;1
2123;Thrombocytopenia;Neutropenia;1
2124;Thrombocytopenia;Wiskott-Aldrich syndrome;1
2125;Thrombophilia;Homocystinuria;1
2126;Thrombophilia;Hemorrhagic diathesis;1
2127;Thrombophilia;Thrombocytopenia;1
2128;Thrombophilia;Afibrinogenemia;1
2129;Thrombophilia;Dysfibrinogenemia;2
2130;Thrombophilia;Hypofibrinogenemia;1
2131;Thrombophilia;Myocardial infarction;1
2132;Thyroid carcinoma;Bladder cancer;1
2133;Thyroid carcinoma;Costello syndrome;1
2134;Thyroid carcinoma;Adrenocortical carcinoma;1
2135;Thyroid carcinoma;Carney complex;1
2136;Thyroid carcinoma;Myxoma, intracardiac;1
2137;Thyroid carcinoma;Pigmented adrenocortical disease, primary isolated;1
2138;Thyroid carcinoma;Bannayan-Riley-Ruvalcaba syndrome;1
2139;Thyroid carcinoma;Cowden disease;1
2140;Thyroid carcinoma;Endometrial carcinoma;1
2141;Thyroid carcinoma;Lhermitte-Duclos syndrome;1
2142;Thyroid carcinoma;Meningioma;1
2143;Thyroid carcinoma;Oligodendroglioma;1
2144;Thyroid carcinoma;Prostate cancer;1
2145;Thyroid carcinoma;VATER association with hydrocephalus;1
